Name,Start Date,End Date,Soft Cap,Hard Cap,Funds Raised,Amount of Tokens at ICO,Consensus Mechanisms,Purpose,Type,Platform,On Exchanges?,Market Price,Market Volume,Market Cap,Circulating Supply,Bullish vs. Bearish Sentiment,Popularity
GameX (GAMEX),2018-01-09,2018-01-27,,,Under Goal,,,"Video Game Marketplace, gaming project funding, coin mining hub",Marketplace,Waves,No,,,,"160,000 GAMEX",,
ModulTrade (MTRC),2017-11-28,2018-01-27,,,,40000000,,Trading system on the blockchain,Marketplace,Ethereum,,,,,"7,500,000 MTRc",,
CoinPoker (CHP),2018-01-19,2018-01-26,,,"$52,712,179.00",275000000,,Poker games,Gaming,Ethereum,,,,,,,
CoinStarter (STC),2017-12-06,2018-02-17,"$4,000,000.00","$58,000,000.00","$6,107,911.71",695800000,,Fundraising/crowdfunding platform,,Ethereum,Yes,$0.16,,,,,
eWaiter (WTR),2017-12-26,2018-01-26,"$200,000.00","$400,000.00",,90000000,,,,Ethereum,No,,,,,,
Jibrel Network (JNT),2017-11-27,2018-01-26,,,,140000000,,"The jibrel network allows anyone to digitize, list, trade and sell traditional assets, such as currencies, bonds and other instruments, on-chain.",,Ethereum,No,,,,,,
Propify Pre-Contribution (REALE),2017-12-14,2018-01-26,"$1,000,000.00","$80,000,000.00",,,,"Propify is an ecosystem of distributed technology tasked with the accurate promotion of real estate listings via social media & search engines, accessing consumers in their natural online search habits.","Social Network, Real Estate",Ethereum,No,,,,,,
Ret (HCT),2017-12-16,2018-01-25,"$720,000.00",,,,,"Decentralized rental platform, purchase, sale of real estate, designed to solve the issue of ownership of housing 1 200 000 000 people. ""RET"" brings together investors, property owners and tenants, providing services for concluding transactions for investing, selling and renting commercial and residential real estate","Social Network, Real Estate",Ethereum,No,,,,,,
SocialX (SOCX),2018-01-15,2018-01-24,"$200,000.00","$2,000,000.00","1,000 ETH",,,"Users can share photos and videos, send encrypted messages, payments, stream live streams and sell licenses for their creative content and earn cryptocurrency awards",Social Network,Ethereum,No,,,,,,
AppCoins (APPC),2017-12-13,2018-01-21,"$2,500,000.00","$15,300,000.00","$15,300,000.00",450000000,,An app store basically,Marketplace,Ethereum,Yes,$0.71,"$7,049,320","$70,544,693","100,054,312 APPC",,
FintruX Network (FTX),2017-11-07,2018-02-28,5000 ETH,"$25,000,000.00",,,,"FintruX Network is a blockchain based online ecosystem connecting borrowers, lenders, and rated service agencies. FintruX facilitates marketplace lending in a true peer-to-peer network to ease the cash-flow issues of small businesses and startups.",Loan Service,Ethereum,No,,,,,,
iBuildApp Network (IBA),2017-11-07,2018-02-15,,"$2,000,000.00",,15000000,,"The iBuildApp Network is building a decentralized mobile marketplace that will include a mobile advertising network, called adNetwork, which will make use of the Ethereum blockchain to alleviate the issues of ad fraud by linking up users directly with advertisers and recording all interactions in an immutable and transparent manner.",Marketplace,Ethereum,,,,,,,
Düber (DBR),2017-10-24,2018-01-19,,,,,,,,,,,,,,,
Getoken (GET),2017-12-20,2018-01-19,,,,,,,,,,,,,,,
Handmade (TLT),2017-12-21,2018-01-19,,,,,,,,,,,,,,,
FundCru (FUND),2017-12-05,2018-01-18,,,,,,,,,,,,,,,
GraphGrailAi (GAI),2017-12-17,2018-01-17,,,,,,,,,,,,,,,
TokenPay (TPAY),2017-12-07,2018-01-17,,,,,,,,,,,,,,,
Zabercoin (ZAB),2017-12-01,2018-01-16,,,,,,,,,,,,,,,
BCDiploma (BCDT),2017-12-01,2018-01-15,,,,,,,,,,,,,,,
Capillar (CAP),2017-12-15,2018-01-15,,,,,,,,,,,,,,,
Covesting (COV),2017-11-24,2018-01-15,,,,,,,,,,,,,,,
CrowdPainting (INK),2017-11-15,2018-01-15,,,,,,,,,,,,,,,
Earth Token (ETN),2017-11-17,2018-01-15,,,,,,,,,,,,,,,
Eggs Datacenter (EGS),2017-10-14,2018-01-15,,,,,,,,,,,,,,,
Enjoy Life (ENJL),2017-12-01,2018-01-15,,,,,,,,,,,,,,,
Mobius (MOBI),2017-11-08,2018-01-15,,,,,,,,,,,,,,,
PodOne (QBE),2017-11-08,2018-01-15,,,,,,,,,,,,,,,
Wireline (WRL),2017-10-15,2018-01-15,,,,,,,,,,,,,,,
YourBlock (presale) (YBK),2017-12-18,2018-01-15,,,,,,,,,,,,,,,
BitMart (BMC),2017-12-27,2018-01-14,,,,,,,,,,,,,,,
Crypterium (CRPT),2017-10-30,2018-01-14,,,,,,,,,,,,,,,
FinTab (FNT),2017-12-14,2018-01-14,,,,,,,,,,,,,,,
Flying Money (FML),2017-11-23,2018-01-14,,,,,,,,,,,,,,,
PlayBets (PLT),2017-12-22,2018-01-14,,,,,,,,,,,,,,,
Lendoit (LOAN),2017-12-13,2018-01-13,,,,,,,,,,,,,,,
Taklimakan Network (TKLN),2017-12-12,2018-01-12,,,,,,,,,,,,,,,
The Bee Token (BEE),2017-12-18,2018-01-12,,,,,,,,,,,,,,,
Valorem Foundation (VLR),2017-12-01,2018-01-11,,,,,,,,,,,,,,,
Bezop Network (BEZ),2017-12-20,2018-01-10,,,,,,,,,,,,,,,
charitySPACE (CHT),2017-12-20,2018-01-10,,,,,,,,,,,,,,,
Coinseed (CSD),2017-12-20,2018-01-10,,,,,,,,,,,,,,,
CrowdDrive (CAR),2017-12-10,2018-01-10,,,,,,,,,,,,,,,
CryptoTask (CTF),2017-11-20,2018-01-10,,,,,,,,,,,,,,,
Graphene Power (GRP),2017-12-20,2018-01-10,,,,,,,,,,,,,,,
SwissBorg (CHSB),2017-12-07,2018-01-10,,,,,,,,,,,,,,,
Zilliqa (ZIL),2017-12-27,2018-01-10,,,,,,,,,,,,,,,
Florio (FLR),2017-12-08,2018-01-08,,,,,,,,,,,,,,,
Librium (EQL),2017-12-08,2018-01-08,,,,,,,,,,,,,,,
GTCoin (GTC),2017-11-02,2018-01-07,,,,,,,,,,,,,,,
Metrumcoin (M2C),2017-12-10,2018-01-07,,,,,,,,,,,,,,,
CyberTrust (CABS),2017-11-27,2018-01-05,,,,,,,,,,,,,,,
REMME (REM),2017-12-04,2018-01-04,,,,,,,,,,,,,,,
trade.io (TIO),2017-12-07,2018-01-04,,,,,,,,,,,,,,,
Zipper (ZIPT),2017-11-30,2018-01-04,,,,,,,,,,,,,,,
Crazy Shapes (CZC),2017-10-04,2018-01-03,,,,,,,,,,,,,,,
Startima (STAT),2017-10-22,2018-01-03,,,,,,,,,,,,,,,
TableCoin (TAC),2017-10-11,2018-01-02,,,,,,,,,,,,,,,
Asset Token ERC20 (AST),2017-08-31,2018-01-01,,,,,,,,,,,,,,,
Bazista (BZS),2017-11-16,2018-01-01,,,,,,,,,,,,,,,
Charg Coin (CHARG),2017-11-16,2018-01-01,,,,,,,,,,,,,,,
Climatecoin (CO2),2017-10-22,2018-01-01,,,,,,,,,,,,,,,
Crowdholding (YUP),2017-10-31,2018-01-01,,,,,,,,,,,,,,,
Crypto Improvement Fund (CIF),2017-09-30,2018-01-01,,,,,,,,,,,,,,,
MoneyTree (TREE),2017-10-23,2018-01-01,,,,,,,,,,,,,,,
Vevue (VUE),2017-10-27,2018-01-01,,,,,,,,,,,,,,,
“I am” by Infobeing (IAM),2017-11-23,2017-12-31,,,,,,,,,,,,,,,
Ananas (ANA),2017-11-20,2017-12-31,,,,,,,,,,,,,,,
Aurora (DVIP),2017-12-04,2017-12-31,,,,,,,,,,,,,,,
BBiller (BBR),2017-08-13,2017-12-31,,,,,,,,,,,,,,,
beeqb (BEQB),2017-10-31,2017-12-31,,,,,,,,,,,,,,,
BitDegree (BDG),2017-12-01,2017-12-31,,,,,,,,,,,,,,,
Bounty0x (BNTY),2017-12-15,2017-12-31,,,,,,,,,,,,,,,
ChainTrade (CTC),2017-10-08,2017-12-31,,,,,,,,,,,,,,,
Cryptonetix (CNX),2017-11-15,2017-12-31,,,,,,,,,,,,,,,
Datarius Cryptobank (DTRC),2017-12-12,2017-12-31,,,,,,,,,,,,,,,
FamilyPoints (FPT),2017-12-01,2017-12-31,,,,,,,,,,,,,,,
Flux (FLUX),2017-12-01,2017-12-31,,,,,,,,,,,,,,,
HealthHeart (HHT),2017-12-01,2017-12-31,,,,,,,,,,,,,,,
LinkerCoin Project (LNC),2017-10-20,2017-12-31,,,,,,,,,,,,,,,
LOCICoin (LOCI),2017-12-08,2017-12-31,,,,,,,,,,,,,,,
LookRev (LOK),2017-09-07,2017-12-31,,,,,,,,,,,,,,,
MAD Network (MAD),2017-11-30,2017-12-31,,,,,,,,,,,,,,,
NetCents Coin (NCCO),2017-10-30,2017-12-31,,,,,,,,,,,,,,,
Open Source University (EDU),2017-11-20,2017-12-31,,,,,,,,,,,,,,,
PlusCoin (PLC),2017-09-25,2017-12-31,,,,,,,,,,,,,,,
Rate ICO (STR),2017-12-10,2017-12-31,,,,,,,,,,,,,,,
Sharpe Capital (SHP),2017-11-06,2017-12-31,,,,,,,,,,,,,,,
Solar Bankers (SUN),2017-11-22,2017-12-31,,,,,,,,,,,,,,,
SPiCE VC (SPX),2017-11-28,2017-12-31,,,,,,,,,,,,,,,
Spotree (SPT),2017-09-10,2017-12-31,,,,,,,,,,,,,,,
StockBet (XSB),2017-10-28,2017-12-31,,,,,,,,,,,,,,,
Tokenlab (LAB),2017-09-30,2017-12-31,,,,,,,,,,,,,,,
Vector (VCTR),2017-12-08,2017-12-31,,,,,,,,,,,,,,,
Arker (ARKER),2017-11-10,2017-12-30,,,,,,,,,,,,,,,
Bloom (BLT),2017-11-30,2017-12-30,,,,,,,,,,,,,,,
Carblox (CRX),2017-10-29,2017-12-30,,,,,,,,,,,,,,,
DCX (DCX),2017-11-30,2017-12-30,,,,,,,,,,,,,,,
e-Chat (ECHT),2017-11-16,2017-12-30,,,,,,,,,,,,,,,
Exxor (EXX),2017-10-11,2017-12-30,,,,,,,,,,,,,,,
Finom (FIN),2017-11-19,2017-12-30,,,,,,,,,,,,,,,
Measurable Data Token (MDT),2017-11-30,2017-12-30,,,,,,,,,,,,,,,
Retainly (RET),2017-12-07,2017-12-30,,,,,,,,,,,,,,,
R_Block (CVT),2017-12-20,2017-12-30,,,,,,,,,,,,,,,
SpaceICO (SIO),2017-10-14,2017-12-30,,,,,,,,,,,,,,,
SqPay (SQP),2017-11-01,2017-12-30,,,,,,,,,,,,,,,
TurboGpu (TGS),2017-10-31,2017-12-30,,,,,,,,,,,,,,,
VapeCoin (VPC),2017-10-22,2017-12-30,,,,,,,,,,,,,,,
xСhainge (XCT),2017-12-05,2017-12-30,,,,,,,,,,,,,,,
Zen Protocol (ZEN),2017-11-30,2017-12-30,,,,,,,,,,,,,,,
BitClave – main sale (CAT),2017-11-29,2017-12-29,,,,,,,,,,,,,,,
CoinLoan (CLT),2017-11-26,2017-12-29,,,,,,,,,,,,,,,
DAO PlayMarket 2.0 (PMT),2017-11-08,2017-12-29,,,,,,,,,,,,,,,
Eristica (ERT),2017-12-07,2017-12-29,,,,,,,,,,,,,,,
GuideCTF (GCTF),2017-10-04,2017-12-29,,,,,,,,,,,,,,,
NAU (NAU),2017-10-31,2017-12-29,,,,,,,,,,,,,,,
SingularityNET (AGI),2017-12-08,2017-12-29,,,,,,,,,,,,,,,
Spectiv (SIG),2017-12-08,2017-12-29,,,,,,,,,,,,,,,
Verify (CRED),2017-11-29,2017-12-29,,,,,,,,,,,,,,,
Bankex (BKX),2017-11-28,2017-12-28,,,,,,,,,,,,,,,
BMCHAIN (BMT),2017-09-09,2017-12-28,,,,,,,,,,,,,,,
MARK.SPACE (MRK),2017-10-30,2017-12-28,,,,,,,,,,,,,,,
Decentralized Escrow (DES),2017-11-29,2017-12-27,,,,,,,,,,,,,,,
SilentNotary (SNTR),2017-12-13,2017-12-27,,,,,,,,,,,,,,,
TradePlayz (TPZ),2017-12-20,2017-12-27,,,,,,,,,,,,,,,
BitCoen (BEN),2017-11-28,2017-12-26,,,,,,,,,,,,,,,
CanYa (CAN),2017-11-26,2017-12-26,,,,,,,,,,,,,,,
GIF by SOCIFI (GIF),2017-12-06,2017-12-26,,,,,,,,,,,,,,,
Homni (HOMNI),2017-11-16,2017-12-26,,,,,,,,,,,,,,,
Nitro (NOX),2017-12-01,2017-12-26,,,,,,,,,,,,,,,
Sirin Labs (SRN),2017-12-12,2017-12-26,,,,,,,,,,,,,,,
AB-CHAIN (ABC),2017-10-22,2017-12-25,,,,,,,,,,,,,,,
Arbitrage Crypto Trader (ACT),2017-10-19,2017-12-25,,,,,,,,,,,,,,,
ASTRcoin (ASTR),2017-11-06,2017-12-25,,,,,,,,,,,,,,,
CryptoCopy (CPY),2017-11-11,2017-12-25,,,,,,,,,,,,,,,
INS Ecosystem (INS),2017-12-04,2017-12-25,,,,,,,,,,,,,,,
"Movement App, Pre-ICO (MOVE)",2017-12-15,2017-12-25,,,,,,,,,,,,,,,
Opporty (OPP),2017-11-27,2017-12-25,,,,,,,,,,,,,,,
Ponsumer (PONS),2017-11-10,2017-12-25,,,,,,,,,,,,,,,
REGA Risk Sharing (RST),2017-11-24,2017-12-25,,,,,,,,,,,,,,,
Vectorspace (VEC),2017-11-18,2017-12-25,,,,,,,,,,,,,,,
Virtonomics ICO (VIC),2017-11-25,2017-12-25,,,,,,,,,,,,,,,
Bitnation (PAT),2017-11-24,2017-12-24,,,,,,,,,,,,,,,
RoboAdvisorCoin (RAC),2017-11-24,2017-12-24,,,,,,,,,,,,,,,
Robot Trading (RTD),2017-10-23,2017-12-24,,,,,,,,,,,,,,,
TokenDesk (TDS),2017-10-03,2017-12-24,,,,,,,,,,,,,,,
Bread (BRD),2017-12-15,2017-12-23,,,,,,,,,,,,,,,
FUELDApp (FUELD),2017-11-23,2017-12-23,,,,,,,,,,,,,,,
Gaming Stars (GAMES),2017-11-23,2017-12-23,,,,,,,,,,,,,,,
Rocket Pool (RPL),2017-11-25,2017-12-23,,,,,,,,,,,,,,,
Smart Identity (ATHAU),2017-11-28,2017-12-23,,,,,,,,,,,,,,,
Telcoin (TEL),2017-12-11,2017-12-23,,,,,,,,,,,,,,,
Sola (SOL),2017-11-27,2017-12-22,,,,,,,,,,,,,,,
#Hearthy (HER),2017-10-14,2017-12-21,,,,,,,,,,,,,,,
Acebusters (NTZ),2017-09-20,2017-12-21,,,,,,,,,,,,,,,
Blocklancer (LNC),2017-11-21,2017-12-21,,,,,,,,,,,,,,,
Debitum Network (DEB),2017-12-07,2017-12-21,,,,,,,,,,,,,,,
Dopameme (DMT),2017-11-21,2017-12-21,,,,,,,,,,,,,,,
DropDeck (DDD),2017-11-21,2017-12-21,,,,,,,,,,,,,,,
Game Project (GMIT),2017-12-07,2017-12-21,,,,,,,,,,,,,,,
Gaze Coin (GZE),2017-12-10,2017-12-21,,,,,,,,,,,,,,,
Heardbeats (HBT),2017-11-24,2017-12-21,,,,,,,,,,,,,,,
Nebeus (NBTK),2017-10-08,2017-12-21,,,,,,,,,,,,,,,
PikcioChain (PKC),2017-11-23,2017-12-21,,,,,,,,,,,,,,,
Prosense (VRP),2017-10-18,2017-12-21,,,,,,,,,,,,,,,
Sparkle Coin (SPRK),2017-09-19,2017-12-21,,,,,,,,,,,,,,,
TeleX AI (TLX),2017-11-21,2017-12-21,,,,,,,,,,,,,,,
Assetron Energy (ASTRN),2017-11-20,2017-12-20,,,,,,,,,,,,,,,
Atrix (ATRIX),2017-11-25,2017-12-20,,,,,,,,,,,,,,,
Block Bank (BBRT),2017-11-20,2017-12-20,,,,,,,,,,,,,,,
Blockchain Taxi (BCT),2017-12-15,2017-12-20,,,,,,,,,,,,,,,
Chainium (CHX),2017-11-27,2017-12-20,,,,,,,,,,,,,,,
Giga Giving (GC),2017-11-15,2017-12-20,,,,,,,,,,,,,,,
Gizer (GZR),2017-11-30,2017-12-20,,,,,,,,,,,,,,,
Lordmancer II (LC),2017-11-07,2017-12-20,,,,,,,,,,,,,,,
MaxiTube (TUBE),2017-11-30,2017-12-20,,,,,,,,,,,,,,,
MDK (MDK),2017-11-29,2017-12-20,,,,,,,,,,,,,,,
Rentberry — presale (BERRY),2017-12-05,2017-12-20,,,,,,,,,,,,,,,
SISA (SISA),2017-11-11,2017-12-20,,,,,,,,,,,,,,,
SRCoin (SRCO),2017-11-15,2017-12-20,,,,,,,,,,,,,,,
Swisstok (SWS),2017-11-23,2017-12-20,,,,,,,,,,,,,,,
The Veris Foundation (VRS),2017-11-20,2017-12-20,,,,,,,,,,,,,,,
Vrcoin (VRC),2017-11-20,2017-12-20,,,,,,,,,,,,,,,
ARRM (ARM),2017-11-16,2017-12-19,,,,,,,,,,,,,,,
Foreground (DEAL),2017-11-28,2017-12-19,,,,,,,,,,,,,,,
HashHive (CELL),2017-11-20,2017-12-19,,,,,,,,,,,,,,,
Kikohash (KIKO),2017-11-21,2017-12-19,,,,,,,,,,,,,,,
Miniapps.pro (MAT),2017-10-17,2017-12-19,,,,,,,,,,,,,,,
Mirocana (MIRO),2017-11-19,2017-12-19,,,,,,,,,,,,,,,
PayperEx (PAX),2017-08-20,2017-12-19,,,,,,,,,,,,,,,
Sportience (SRT),2017-12-05,2017-12-19,,,,,,,,,,,,,,,
Bank of Memories (BMC),2017-11-20,2017-12-18,,,,,,,,,,,,,,,
Demeter (DMT),2017-11-18,2017-12-18,,,,,,,,,,,,,,,
Investy (IVC),2017-11-24,2017-12-18,,,,,,,,,,,,,,,
PROPS by YouNow (presale) (PROPS),2017-12-11,2017-12-18,,,,,,,,,,,,,,,
Rhovit (RBIT),2017-11-20,2017-12-18,,,,,,,,,,,,,,,
